,discordid,minecraftid,client,age,version
0,ProGamer300#3331,ProGamer300 ,Computer ( Java Edition ),14.0,Cracked
1,@shrey#4934,shrey_jain_,Computer ( Java Edition ),19.0,Cracked
2,Skullfaced#8657,Skullfaceddeath,Computer ( Java Edition ),18.0,Paid Version
3,Op DzGhOsT#8719 ,DzGHoST1737 ,Computer ( Java Edition ),17.0,Cracked
4,Dwijesh#6020,Dwijesh YT,Mobile ( bedrock version ),15.0,Paid Version
5,KillerBunnyYP#8577,KillerBunnyYP,Computer ( Java Edition ),15.0,Cracked
6,@Ritzvish8842,Ritzvish,Computer ( Java Edition ),20.0,Cracked
7,@'-HøŇəýØp ᵇᵃᵛˡᵃ#0069,HoNeyOp,Computer ( Java Edition ),16.0,Cracked
8,LAPOGY#1515,LAPOGY,Computer ( Java Edition ),21.0,Paid Version
9,Magestic Plan #2063,Magestic,Computer ( Java Edition ),17.0,Cracked
10,Sudhanvaraj live#8511,Sudhanva2001,Computer ( Java Edition ),21.0,Paid Version
11,vijayrane67#8595,CraftyKitten975,Mobile ( bedrock version ),16.0,Cracked
12,Captain S_J#5702,Captain_S_J,Computer ( Java Edition ),21.0,Cracked
13,Anuj#4023,anujdhone,Computer ( Java Edition ),26.0,Cracked
14,@Bulbul#3297,iamharsh3000,Computer ( Java Edition ),17.0,Cracked
15,Mr.Random Ke Pair Ka Bal #0011,Yoda4211,Computer ( Java Edition ),17.0,Paid Version
16,@imran#4121,imran121,Computer ( Java Edition ),20.0,Cracked
17,Fahad#0214,Tedmaster007,Mobile ( bedrock version ),18.0,Paid Version
18,Aviral3007,Amphion,Computer ( Java Edition ),15.0,Cracked
19,BЯИÐ 𝈊Ayushsingla#8584,GivenParty59746,Mobile ( bedrock version ),16.0,Cracked
20,Mannan0#4116,Mannan7860,Computer ( Java Edition ),21.0,Paid Version
21,F!RE| ΣX丶 AP IS OPᴼʷⁿᵉʳ#8394,PRO_NOOB_GAMING_1902,Computer ( Java Edition ),16.0,Cracked
22,_TheHarshuG_#0124,THarshuYT,Computer ( Java Edition ),14.0,Cracked
23,PARADISEPALM#4086,PARADISEPALM,Mobile ( bedrock version ),20.0,Paid Version
24,Sxrxng#4275,sxrxng,Computer ( Java Edition ),18.0,Cracked
25,Dodopro#7328,adiiiiiiiiiiiiii,Computer ( Java Edition ),13.0,Cracked
26,Tanush#6188,Tanushwarrior,Computer ( Java Edition ),14.0,Cracked
27,Riyad,Riyad8646,Mobile ( bedrock version ),12.0,Cracked
28,Cutie.Cow#5134,GamerDuckie,Computer ( Java Edition ),15.0,Paid Version
29,DMR KRATOS#0658,DMR_KRATOS,Computer ( Java Edition ),16.0,Paid Version
30,Habav gaming#5478,tanmay gamer837,Mobile ( bedrock version ),15.0,Paid Version
31,ContMonster#5949,MonsterBeerusYT,Computer ( Java Edition ),2.0,Cracked
32,Ishwaak Saraogi#9617,SpyIshwaak1,Computer ( Java Edition ),16.0,Paid Version
33,ROCKDEEP#9835,ROCKDEEP,Computer ( Java Edition ),15.0,Paid Version
34,Mohammad Tashhid#3186,GamerBoy4801732,Mobile ( bedrock version ),23.0,Paid Version
35,@Bhavya#6821,Bhavya,Computer ( Java Edition ),15.0,Cracked
36,PRIANKSHU YT#8073,Priankshu,Computer ( Java Edition ),16.0,Cracked
37,abhi4832#9253,Abhi4832,Computer ( Java Edition ),16.0,Cracked
38,hargundeep#0631,Hargun_604,Computer ( Java Edition ),23.0,Cracked
39,Aryan pro#5587,TheUniqueGamer,Computer ( Java Edition ),16.0,Cracked
40,QatilGujar#0614,Qatil_Gujar,Computer ( Java Edition ),14.0,Cracked
41,Lord Star#4944,LordStar7,Computer ( Java Edition ),15.0,Cracked
42,Raj_nova,Rajsaha,Computer ( Java Edition ),15.0,Cracked
43,Byte fence gaming,ClownishHen9123,Mobile ( bedrock version ),16.0,Cracked
44,The_funny_gamer,The_funny_gamer,Computer ( Java Edition ),13.0,Paid Version
45,Nikhil#8914,Godyt03,Computer ( Java Edition ),17.0,Paid Version
46,@Amphion#2764,Amphion,Computer ( Java Edition ),15.0,Cracked
47,PRST#1049,Prst007,Computer ( Java Edition ),17.0,Cracked
48,Vedansh#8311,Vedansh275,Computer ( Java Edition ),14.0,Cracked
49,@Wow Tek#2632,wow_tek,Computer ( Java Edition ),17.0,Cracked
50,@VeNoM#5398,ItsVenom1912,Computer ( Java Edition ),13.0,Cracked
