,country,confederation,population_share,tv_audience_share,gdp_weighted_share
0,Afghanistan,AFC,0.4,0.3,0.0
1,Albania,UEFA,0.0,0.1,0.1
2,Algeria,CAF,0.5,0.4,0.3
3,American Samoa,OFC,0.0,0.0,0.0
4,Angola,CAF,0.3,0.1,0.1
5,Antigua & Barbuda,CONCACAF,0.0,0.0,0.0
6,Argentina,CONMEBOL,0.6,1.5,1.6
7,Armenia,UEFA,0.0,0.1,0.0
8,Aruba,CONCACAF,0.0,0.0,0.0
9,Australia,AFC,0.3,0.3,0.5
10,Austria,UEFA,0.1,0.3,0.6
11,Azerbaijan,UEFA,0.1,0.1,0.1
12,Bahamas,CONCACAF,0.0,0.0,0.0
13,Bahrain,AFC,0.0,0.0,0.0
14,Bangladesh,AFC,2.2,0.1,0.0
15,Barbados,CONCACAF,0.0,0.0,0.0
16,Belarus,UEFA,0.1,0.2,0.2
17,Belgium,UEFA,0.2,0.3,0.7
18,Benin,CAF,0.1,0.0,0.0
19,Bermuda,CONCACAF,0.0,0.0,0.0
20,Bolivia,CONMEBOL,0.1,0.1,0.0
21,Bosnia-Herzegovina,UEFA,0.1,0.1,0.1
22,Botswana,CAF,0.0,0.0,0.0
23,Brazil,CONMEBOL,2.8,7.1,5.4
24,Brunei,AFC,0.0,0.0,0.1
25,Bulgaria,UEFA,0.1,0.2,0.2
26,Burkina Faso,CAF,0.2,0.1,0.0
27,Burundi,CAF,0.1,0.1,0.0
28,Cambodia,AFC,0.2,0.5,0.1
29,Cameroon,CAF,0.3,0.2,0.0
30,Canada,CONCACAF,0.5,0.5,1.0
31,Cape Verde,CAF,0.0,0.0,0.0
32,Cayman Islands,CONCACAF,0.0,0.0,0.0
33,Central African Republic,CAF,0.1,0.0,0.0
34,Chad,CAF,0.2,0.0,0.0
35,Chile,CONMEBOL,0.3,0.6,0.6
36,China,AFC,19.5,14.8,7.3
37,Colombia,CONMEBOL,0.7,1.6,0.9
38,Congo DR,CAF,0.9,0.2,0.0
39,"Congo, Rep.",CAF,0.1,0.0,0.0
40,Cook Islands,OFC,0.0,0.0,0.0
41,Costa Rica,CONCACAF,0.1,0.2,0.1
42,Croatia,UEFA,0.1,0.1,0.1
